HOME


The Paramony
An internet version of Biblical References for The Urantia Book
by Duane Faw

Key to Column Headings

1  Pg.Ppg — Refers to page numbering in Urantia Foundation editions of The Urantia Book. Paragraphs are numbered with the first full paragraph from the top of the page and are numbered sequentially down the page.
2  P:S.p — Refers to Paper number, section number within the paper, and the paragraph number within the section. The P:S.p links to the referenced paragraph of the Standardized version of The Urantia Book.
3  Key Words — The words or concepts which, in the mind of the author, connect the Bible and The Urantia Book.
4  Bible Notation — Bible book, such as 1 Corinthians, chapter, and verse numbers. The Bible notation links to the referenced book, chapter and verse of the King James translation of the Bible.
5  Class — Categorizations for references in which:
S = "Same" — Both books recite the same incident.
R = "Refer" — One book quotes from, or refers to an incident contained in, the other.
C = "Compare" — One book relates matter which, although not the same as the other, is significant to reinforce, modify or contradict the other.
1 Pg.Ppg	2 P:S.p	3 Key Words	4 Bible Book Ch:Vs	5 Class
4:12-13	0:2.9	God as Creator of everything+	Acts of the Apostles 14:15	C
4:12-13	0:2.9	God as Controller+	Acts of the Apostles 14:15	C
4:12-13	0:2.9	God as Creator of everything+	Acts of the Apostles 4:24	C
15:39	0:12.2	Paradise Trinity	Acts of the Apostles 2:32	C
4:12-13	0:2.9	God as Creator of the earth+	Amos 4:13	C
4:12-13	0:2.9	God as Creator of wisdom+	Baruch 3:32	C
4:12-13	0:2.9	God as Creator of heaven, earth+	2 Chronicles 2:12	C
4:12-13	0:2.9	God as Creator of everything+	Colossians 1:16	C
7:31	0:4.11	Paradise	2 Corinthians 12:4	C
15:39	0:12.2	Paradise Trinity	2 Corinthians 13:14	C
15:39	0:12.2	Paradise Trinity (Paul's early view)	1 Corinthians 12:4	C
4:18-22	0:2.12	God the Supreme+	Daniel 2:47	C
4:18-22	0:2.12	God the Supreme+	Deuteronomy 10:17	C
5:09	0:3.2	Eternal God+	Deuteronomy 33:27	C
4:12-13	0:2.9	God as Creator of everything+	Ephesians 3:9	C
10:01-03	0:6.9	Spirit light	2 Esdras 7:55	C
4:12-13	0:2.9	God as Creator of everything+	Exodus 20:11	C
4:12-13	0:2.9	God as Creator of heaven, earth+	Exodus 31:17	C
6:21-29	0:3.16	I AM	Exodus 3:13	C
4:12-13	0:2.9	God as Creator of everything+	Genesis 1:1	C
4:12-13	0:2.9	God as Creator of man, woman+	Genesis 5:1	C
4:12-13	0:2.9	God as Creator of everything+	Genesis 2:4	C
4:12-13	0:2.9	God as Creator of worlds+	Hebrews 1:2	C
4:12-13	0:2.9	God as Upholder+	Hebrews 1:3	C
4:12-13	0:2.9	God as Creator of the earth+	Isaiah 40:26	C
